danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.619,0.67,-10.322,0.0353,0.00165,0.0109,0.331,0.777,129.269,45Ia1U4KtIjAPPU7Wv1Sea,211933
0.591,0.907,-5.648,0.0837,0.0675,0.0,0.0903,0.817,151.961,3y8rEUEUdmAcPCpPoLotnO,280093
0.763,0.742,-10.975,0.188,0.0984,0.0,0.38,0.483,98.145,2LjiPAQOVazT8sRyXL3XRs,268910
0.696,0.89,-6.819,0.0441,0.055,0.0596,0.5,0.922,98.742,17Ng10tIgnYmAitl0SgT3R,252227
0.495,0.894,-4.814,0.0441,0.00453,0.000596,0.103,0.213,126.03,5TbzAWWc5eJaANpA9kfGCd,239894
0.675,0.894,-2.442,0.0355,0.0599,0.000452,0.0484,0.537,100.01,0Dho96aJIZ5LJZXyPllbWA,194187
0.631,0.924,-5.589,0.146,0.0841,3.59e-06,0.084,0.755,100.045,213x4gsFDm04hSqIUkg88w,192280
0.417,0.913,-6.049,0.0441,0.00248,1.09e-06,0.166,0.439,144.591,2TAQ9YGehOKWDqDak5DuXc,310400
0.574,0.96,-4.906,0.032,0.0457,0.0,0.121,0.978,117.486,2Y90nL1ohB4sgYELDs7uNx,254733
0.633,0.842,-4.642,0.0262,0.111,0.0,0.139,0.674,114.449,5IJWnvJJgH4PR4p9aXnNCQ,275067
0.653,0.816,-6.373,0.0638,0.376,1.61e-06,0.0754,0.802,91.894,1XcUn5PE9d42zWamWgRG2x,226960
0.792,0.602,-7.477,0.0398,0.00134,2.59e-06,0.0705,0.45,129.451,4oMsN8sDnYw4pcvnHTWJep,274733
0.64,0.864,-6.576,0.0314,0.00832,0.0,0.123,0.701,102.026,42et6fnHCw1HIPSrdPprMl,268360
0.668,0.718,-4.736,0.0605,0.0165,0.0,0.104,0.345,91.993,4fINc8dnfcz7AdhFYVA4i7,192200
0.687,0.871,-5.531,0.0689,0.00225,0.00708,0.134,0.539,115.0,3BnBKNItMng824sLx0pUfy,229439
0.671,0.808,-4.861,0.0652,0.02,0.0,0.134,0.637,121.956,1r3myKmjWoOqRip99CmSj1,206080
0.699,0.805,-3.05,0.0595,0.0383,0.0,0.502,0.722,127.009,7448rwdrtddS5irSvOgPA6,216440
0.478,0.854,-5.454,0.0289,0.0204,1.21e-06,0.115,0.274,91.854,1A5V1sxyCLpKJezp75tUXn,274160
0.767,0.869,-7.323,0.0334,0.111,0.0688,0.0815,0.849,124.254,6NLAzDPHSlV2bl7XbmivOq,316138
0.877,0.534,-6.178,0.15,0.0339,1.67e-05,0.0441,0.89,108.17,6e8Ou0wiqAzIpWb2eSxll8,197560
0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,0.772,138.559,0d28khcov6AiegSCpG5TuT,222640
